First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,45Miss,45Shots,45Blkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBA,TmSHBF,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Ryan,Ellis,NSH,D,79,1,0,1,1,0,0,0,4,1,1,3,0,25.0%,25.0%,19,2,2,1,7,6957,1.47,106.9,1.35,276.2,3.50,27.9%,0,0, ,3,9,15,49,2,33,2,52,9,63,12.5%,-1.8,0,2,-11.8,11.1,7.8
Turner,Elson,CGY,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,179,2.98,3.0,3.02,7.0,7.03,30.0%,0,0, ,0,0,0,1,0,0,0,2,0,1,0.0%,-8.3,0,0,19.9,33.3,11.1
Alexei,Emelin,MTL,D,72,0,0,0,0,0,0,0,2,0,0,2,0,0.0%,0.0%,16,15,8,10,3,9092,2.10,152.4,2.12,188.7,2.62,44.7%,0,0, ,2,19,21,118,7,61,6,56,23,127,15.3%,2.2,2,1,-46.5,4.1,-0.8
Deryk,Engelland,CGY,D/RW,69,0,1,1,0,0,1,0,0,1,0,0,0,0.0%,0.0%,9,1,0,2,0,5117,1.24,78.3,1.13,215.4,3.12,26.7%,0,0, ,4,12,7,50,1,36,4,39,9,68,11.7%,-0.5,0,0,-39.1,8.9,3.6
Tyler,Ennis,BUF,C,23,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,18,0.01,0.3,0.01,93.0,4.04,0.4%,0,0, ,0,0,0,0,0,1,0,0,0,1,0.0%,-9.8,0,0,-60.0,,
Toby,Enstrom,WPG,D,72,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,17,2,3,4,2,6671,1.54,110.5,1.53,301.3,4.19,26.8%,0,0, ,0,16,11,94,3,35,2,54,12,108,10.0%,-7.0,0,1,-42.9,8.3,1.8
Jonathan,Ericsson,DET,D,71,0,0,0,0,0,0,0,4,0,0,4,0,0.0%,0.0%,12,13,3,13,5,11164,2.62,182.9,2.58,201.4,2.84,47.6%,0,0, ,0,18,19,149,5,65,5,75,20,139,12.6%,1.8,1,4,-45.3,3.4,-4.5
Loui,Eriksson,BOS,RW/LW,82,2,1,3,2,1,0,7,11,4,4,9,2,18.2%,13.3%,8,1,1,1,5,9106,1.85,146.2,1.78,296.9,3.62,33.0%,4,1,80.0%,3,11,19,86,6,54,5,67,18,105,14.6%,-2.0,0,1,-25.0,12.3,6.1
Emerson,Etem,VAN,RW/LW,58,0,0,0,0,0,0,0,0,1,1,0,0,0.0%,0.0%,3,0,1,0,0,737,0.21,12.4,0.21,268.7,4.63,4.4%,0,1,0.0%,0,2,1,6,2,5,0,5,0,8,0.0%,-11.1,0,0,-24.3,0.0,-5.7
Dennis,Everberg,COL,RW/C,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,3,1,0,0,0,772,0.86,14.3,0.95,60.6,4.04,19.1%,0,0, ,1,2,0,17,0,2,0,9,1,10,9.1%,-5.0,0,0,-46.1,0.0,-4.5
