First Name,Last Name,End Team,Pos,GP,PPG,PPA,PPP,54G,54A1,54A2,PPP/60,PPShot,PPMiss,PPBlkd,PPSh%,PPCoSH%,PPPass,PPBlk,PPHitF,PPHitA,PPGive,PPTake,PPTOI,PPTOI/G,54TOI,54TOI/G,54TOF,54TOF/G,PP%,PPIGP,PPIAP,PPIPP,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,TmPPSCF,TmPPSCA,PPSC%,PPRelSC%,PPPenT,PPPenD,PPCorsi,PPOZ%,PPRelOZ%
Jordan,Szwarz,ARI,RW,9,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.2,0.03,0.7,0.08,43.1,4.78,1.60%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Max,Talbot,BOS,C,81,0,0,0,0,0,0,0,3,2,0,0.00%,0.00%,0,0,1,0,0,0,21.4,0.26,24,0.3,387.4,4.78,5.80%,0.00%,0.00%,0.00%,3,1,75.00%,0,0,13,4,13,4,1,9,16,4,-6.5,80,1,0,72.8,92.9,-1.2
Christopher,Tanev,VAN,D,70,0,2,2,0,0,2,3.3,2,1,5,0.00%,0.00%,0,0,0,1,0,1,36.4,0.52,32.7,0.47,298.6,4.27,9.90%,0.00%,40.00%,40.00%,,, ,5,1,26,5,26,5,0,10,25,4,1,86.2,0,1,92.3,79.4,-14.8
Eric,Tangradi,MTL,LW,7,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,23.7,3.38,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Alex,Tanguay,COL,LW,80,2,12,14,2,7,5,4.4,22,6,10,9.10%,5.30%,65,1,5,1,1,0,191.1,2.39,176,2.2,206.1,2.58,46.10%,11.80%,70.60%,82.40%,1,0,100.00%,17,1,140,29,140,29,8,58,125,24,-2.9,83.9,4,1,90.4,92.9,0.1
Vladimir,Tarasenko,STL,RW,77,8,10,18,8,6,4,5.3,48,29,26,16.70%,7.80%,39,0,3,5,3,1,203.7,2.65,204,2.65,171.1,2.22,54.40%,26.70%,33.30%,60.00%,0,0, ,30,4,167,25,167,25,8,86,176,28,-1.7,86.3,3,2,114.3,94,3.4
Daniil,Tarasov,SJS,RW/C,5,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,1,1.9,0.38,1.9,0.39,20.8,4.15,8.50%,0.00%,0.00%,0.00%,0,0, ,0,0,4,0,4,0,0,0,2,0,13.6,100,0,0,252.6,100,18.2
Tomas,Tatar,DET,LW/C,82,9,10,19,8,6,4,5.6,52,20,17,17.30%,10.10%,37,0,2,8,10,4,204.3,2.49,201.3,2.45,261.1,3.18,43.50%,27.60%,34.50%,62.10%,0,1,0.00%,29,2,149,16,149,16,6,83,193,18,5.3,91.5,2,2,108.7,94.8,1.7
John,Tavares,NYI,C,82,13,18,31,13,7,11,6.1,73,18,15,17.80%,12.30%,50,1,4,12,29,6,303.6,3.7,302.9,3.69,124.4,1.52,70.90%,31.00%,42.90%,73.80%,147,142,50.90%,42,2,255,34,255,34,5,108,325,33,4.7,90.8,5,1,115.6,98.4,9.5
Matt,Tennyson,SJS,D,27,1,1,2,1,0,1,2.5,5,5,6,20.00%,6.30%,0,1,0,4,1,0,48.8,1.81,44.6,1.65,96.2,3.56,31.70%,50.00%,50.00%,100.00%,,, ,2,0,25,10,25,10,5,18,24,12,-20.9,66.7,0,0,55.4,81.5,-11.9
Teuvo,Teravainen,CHI,C/LW,34,0,1,1,0,0,1,2.3,3,1,0,0.00%,0.00%,0,0,0,0,0,0,25.7,0.76,25.8,0.76,128.3,3.77,16.70%,0.00%,100.00%,100.00%,0,2,0.00%,1,0,27,5,27,5,0,10,18,4,0.6,81.8,0,0,128.4,100,3.5
