PLAYER,AGE,POS,TEAM,DATE,TYPE,LENGTH,VALUE,CAP HIT
Landon Ferraro,25,"C, RW",,1-Jul-17,Standard,2,"$1,400,000","$700,000"
Cal O'Reilly,30,C,,1-Jul-17,Standard,2,"$1,400,000","$700,000"
Chad Johnson,31,G,,1-Jul-17,Standard,1,"$2,500,000","$2,500,000"
Cameron Schilling,28,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Patrick Sharp,35,"LW, C",,1-Jul-17,35+,1,"$1,000,000","$800,000"
Tommy Wingels,29,"RW, LW",,1-Jul-17,Standard,1,"$750,000","$750,000"
Jordan Oesterle,25,D,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Jean-François B_rub_,25,G,,1-Jul-17,Standard,2,"$1,400,000","$700,000"
Darcy Kuemper,27,G,,1-Jul-17,Standard,1,"$650,000","$650,000"
Greg McKegg,25,C,,1-Jul-17,Standard,1,"$650,000","$650,000"
Niklas Svedberg,27,G,,1-Jul-17,Standard,1,"$700,000","$700,000"
Alex Gallant,24,"C, LW",,1-Jul-17,Entry-Level,1,"$675,000","$675,000"
Stepan Falkovsky,20,D,,1-Jul-17,Entry-Level,3,"$2,095,000","$698,333"
Casey DeSmith,25,G,,1-Jul-17,Standard,2,"$1,350,000","$675,000"
John Albert,28,C,,1-Jul-17,Standard,1,"$650,000","$650,000"
T.J. Tynan,25,C,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Chris Mueller,31,C,,1-Jul-17,Standard,2,"$1,300,000","$650,000"
Ron Hainsey,36,D,,1-Jul-17,35+,2,"$6,000,000","$3,000,000"
Chris Kunitz,37,LW,,1-Jul-17,35+,1,"$3,000,000","$2,000,000"
Zach Trotman,26,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Kevin Shattenkirk,28,D,,1-Jul-17,Standard,4,"$26,600,000","$6,650,000"
Bracken Kearns,36,C,,1-Jul-17,35+,1,"$650,000","$650,000"
Anders Lindb_ck,29,G,,1-Jul-17,Standard,1,"$650,000","$650,000"
Nick Bonino,29,C,,1-Jul-17,Standard,4,"$16,400,000","$4,100,000"
Ryan Stanton,27,D,,1-Jul-17,Standard,2,"$1,400,000","$700,000"
Alexandre Grenier,25,RW,,1-Jul-17,Standard,1,"$725,000","$725,000"
Ty Rattie,24,RW,,1-Jul-17,Standard,1,"$700,000","$700,000"
Edward Pasquale,26,G,,1-Jul-17,Standard,1,"$700,000","$700,000"
Keegan Lowe,24,D,,1-Jul-17,Standard,1,"$650,000","$650,000"
Brian Ferlin,25,RW,,1-Jul-17,Standard,1,"$700,000","$700,000"
Grayson Downing,25,C,,1-Jul-17,Standard,1,"$650,000","$650,000"
Mitch Callahan,25,RW,,1-Jul-17,Standard,2,"$1,400,000","$700,000"
